Streaming Bitrate,"768Kbps, 1.5Mbps, 2Mbps (Optional)","768Kbps, 1.5Mbps, 2Mbps (Optional)","768Kbps, 1.5Mbps, 2Mbps (Optional)","768Kbps, 1.5Mbps, 2Mbps (Optional)","600Kbps ~ 6Mbps (Optional, Adaptive)","600Kbps ~ 6Mbps (Optional, Adaptive)","600Kbps ~ 6Mbps (Optional, Adaptive)",,400Kbps ~ 4.5Mbps (ABR),400Kbps ~ 4.5Mbps (ABR),400Kbps ~ 4.5Mbps (ABR),400Kbps ~ 4.5Mbps (ABR),400Kbps ~ 4.5Mbps (ABR)
Video Processing,"AE, AWB, AGC, BLC, HLC, WDR, HDR, 3DNR, Privacy Mask, OSD, Video Orientation","AE, AWB, AGC, BLC, HLC, WDR, HDR, 3DNR, Privacy Mask, OSD, Video Orientation","AE, AWB, AGC, BLC, HLC, WDR, HDR, 3DNR, Privacy Mask, OSD, Video Orientation","AE, AWB, AGC, BLC, HLC, WDR, HDR, 3DNR, Privacy Mask, OSD, Video Orientation","AE, AWB, AGC, BLC, LDC, WDR, HDR(120dB), 3DNR, Privacy Mask, OSD, Video Orientation","AE, AWB, AGC, BLC, LDC, WDR, HDR(120dB), 3DNR, Privacy Mask, OSD, Video Orientation","AE, AWB, AGC, BLC, LDC, WDR, HDR(120dB), 3DNR, Privacy Mask, OSD, Video Orientation, Auto Stiching, Region Crop",,"AE, AWB, AGC, BLC, HLC, WDR, HDR(120dB), 3DNR, Privacy Mask, OSD, Video Orientation","AE, AWB, AGC, BLC, HLC, WDR, HDR(120dB), 3DNR, Privacy Mask, OSD, Video Orientation","AE, AWB, AGC, BLC, HLC, WDR, HDR(120dB), 3DNR, Privacy Mask, OSD, Video Orientation","AE, AWB, AGC, BLC, HLC, WDR, HDR(120dB), 3DNR, Privacy Mask, OSD, Video Orientation","AE, AWB, AGC, BLC, HLC, WDR, HDR(120dB), 3DNR, Privacy Mask, OSD, Video Orientation"
Audio,,,,,,,,,,,,,
Audio Format,"AAC, G.711","AAC, G.711",-,-,"AAC, G.711","AAC, G.711","AAC, G.711",,-,"AAC, G.711","AAC, G.711","AAC, G.711","AAC, G.711"
Microphone,"Built-in, 5m / 15ft distance","Built-in, 5m / 15ft distance",Not supported,Not supported,"Built-in, 5m / 15ft distance","Built-in, 5m / 15ft distance","Built-in, 5m / 15ft distance",,-,"Built-in, 5m / 15ft distance","Built-in, 5m / 15ft distance","Built-in, 5m / 15ft distance","Built-in, 5m / 15ft distance"
Speaker,Not supported,Not supported,Not supported,Not supported,Not supported,Not supported,Not supported,,Not supported,Not supported,Not supported,Not supported,Not supported
Advanced AI Analytics,,,,,,,,,,,,,
AI NPU,Built-in,Built-in,Built-in,Built-in,Built-in,Built-in,Built-in,Built-in,Built-in,Built-in,Built-in,Built-in,Built-in
People Detection and Tracking,"History search, People counting","History search, People counting","History search, People counting","History search, People counting","History search, People counting","History search, People counting","History search, People counting",,"History search, People counting","History search, People counting","History search, People counting","History search, People counting","History search, People counting"
Vehicle Detection and Tracking,"History search, Vehicle counting","History search, Vehicle counting","History search, Vehicle counting","History search, Vehicle counting","History search, Vehicle counting","History search, Vehicle counting","History search, Vehicle counting",,"History search, Vehicle counting","History search, Vehicle counting","History search, Vehicle counting","History search, Vehicle counting","History search, Vehicle counting"
Tampering Detection,Event alert,Event alert,Event alert,Event alert,Event alert,Event alert,Event alert,,Event alert,Event alert,Event alert,Event alert,Event alert
